trialNumber,timestamp,position,speed,direction
0,1869728.3000000007,0.126,0.42857142857142894,-1
0,1869735.3000000007,0.123,0.42857142857142894,-1
0,1869742.3000000007,0.118,0.7142857142857149,-1
0,1869749.2000000011,0.113,0.7246376811202959,-1
0,1869756.1000000015,0.107,0.8695652173443575,-1
0,1869763.3000000007,0.101,0.8333333334195657,-1
0,1869770,0.094,1.044776119519168,-1
0,1869777,0.084,1.428571428571428,-1
0,1869784,0.074,1.4285714285714297,-1
0,1869790.8000000007,0.064,1.4705882351329884,-1
0,1869797.9000000004,0.053,1.5492957747291776,-1
0,1869804.8000000007,0.043,1.449275362240595,-1
0,1869811.8000000007,0.032,1.5714285714285707,-1
0,1869818.6000000015,0.021,1.6176470586462879,-1
0,1869826,0.011,1.3513513516234692,-1
0,1869833.3000000007,0.004,0.9589041094911727,-1
0,1869839.6000000015,0,0.6349206348455473,-1
0,1869971.4000000004,0.01,0.07587253414328371,1
0,1869978.4000000004,0.026,2.2857142857142856,1
0,1869985.4000000004,0.041,2.1428571428571432,1
0,1869992.2000000011,0.058,2.499999999726082,1
0,1869999.2000000011,0.074,2.2857142857142847,1
0,1870006.1000000015,0.096,3.188405796929309,1
0,1870013.1000000015,0.117,3.0000000000000004,1
0,1870020,0.139,3.188405797790015,1
0,1870027.1000000015,0.164,3.5211267598243814,1
0,1870034.1000000015,0.187,3.2857142857142847,1
0,1870040.8000000007,0.214,4.029850746716787,1
0,1870047.9000000004,0.239,3.521126760748129,1
0,1870054.8000000007,0.267,4.057971014273669,1
0,1870061.8000000007,0.296,4.142857142857139,1
0,1870068.6000000015,0.321,3.676470587832476,1
0,1870075.6000000015,0.35,4.142857142857139,1
0,1870083.4000000004,0.382,4.1025641031519235,1
0,1870089.5,0.402,3.278688524790397,1
0,1870096.6000000015,0.43,3.9436619710033036,1
0,1870103.4000000004,0.452,3.235294118178786,1
0,1870110.4000000004,0.469,2.4285714285714226,1
0,1870117.4000000004,0.485,2.285714285714288,1
0,1870124.3000000007,0.5,2.1739130433608937,1
0,1870131.3000000007,0.514,2.0000000000000018,1
0,1870138.2000000011,0.525,1.5942028984646555,1
0,1870145.1000000015,0.536,1.5942028984646555,1
0,1870152.1000000015,0.544,1.142857142857144,1
0,1870159,0.555,1.5942028988950083,1
0,1870165.9000000004,0.563,1.1594202897924606,1
